net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
efficientnet_b0,layer4_features_1_0_block_1_fc2,middle,0.0,1e-09,0.0,256,1,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,end,0.0,1e-09,3.2e-08,256,1,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,single,1e-09,1e-09,3.2e-08,256,1,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,start,1e-09,1e-09,0.0,8192,1,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,middle,0.0,1e-09,0.0,8192,1,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,end,0.0,1e-09,1.024e-06,8192,1,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,single,1e-09,1e-09,1.024e-06,8192,1,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,start,1e-09,1e-09,0.0,128,2,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,middle,0.0,1e-09,0.0,128,2,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,end,0.0,1e-09,1.6e-08,128,2,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,single,1e-09,1e-09,1.6e-08,128,2,1,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,start,1e-09,1e-09,0.0,4096,2,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,middle,0.0,1e-09,0.0,4096,2,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,end,0.0,1e-09,5.12e-07,4096,2,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,single,1e-09,1e-09,5.12e-07,4096,2,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,start,1e-09,1e-09,0.0,6422528,1,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,middle,0.0,1e-09,0.0,6422528,1,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,end,0.0,1e-09,0.000200704,6422528,1,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,single,1e-09,1e-09,0.000200704,6422528,1,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,start,1e-09,1e-09,0.0,205520896,1,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,middle,0.0,1e-09,0.0,205520896,1,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,end,0.0,1e-09,0.006422528,205520896,1,32,1
