net,layer_name,batch_size,sequence_length,mapper_idx,fused_layer_type,tp_degree,arch_target,glb_scale,pe_x_scale,pe_y_scale,dram_i,dram_o,latency,static_power,dynamic_energy,area,utilization,i_access,w_access,o_access
vit_h14_s257,layer0_softmax_max,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000689138941385468,0.267538334206459,0.015698274137285213,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000689138941385468,0.267538334206459,0.015698274137285213,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000689138941385468,0.267538334206459,0.015698274137285213,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000689138941385468,0.267538334206459,0.015698274137285213,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00107168344138546,0.270727977745468,0.035618172174222015,,1.0,,,
