metric,objective,cost_aware,framework,network,category,value
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.022726817248327084
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.9373499616551524
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,3.828444601457546e-05
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.02545504428227942
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,2.8277814054349168e-08
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,1.6761658753700515e-06
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b1_seq1,cnn,4.0966924941205564e-05
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b8_seq1,cnn,0.0018822026293742672
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.3897198433900798
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,43.9087473278078
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.06532564779320384
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.19663632569453615
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,10.016462647043163
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,283.24361050039806
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,1.025878585964988
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,2.551882572837621
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04693568779669603
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,5.56758263240715
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.00406023303998938
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.7652698887909365
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.3681247321813276
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,44.1160219580258
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.060330340371200365
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,10.234279128839724
EDP x Cost,edp,True,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,9.326269246049807e-07
EDP x Cost,edp,True,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,1.2479674497158962e-05
EDP x Cost,edp,True,SCAR-style,replknet31b_b1_seq1,cnn,0.0005346957805884039
EDP x Cost,edp,True,SCAR-style,replknet31b_b8_seq1,cnn,0.02536869115640621
