metric,objective,cost_aware,config,network,category,value
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.48290801335268896
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.627730587991489
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.604934129050198
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.65890333751295
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.373008713948116
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.72884193843307
Energy x Cost,energy,True,w/o Layer Fusion,mobilenet_v3_small_b1_seq1,cnn,0.009051862022440349
Energy x Cost,energy,True,w/o Layer Fusion,mobilenet_v3_small_b8_seq1,cnn,0.07580313763875794
Energy x Cost,energy,True,w/o Layer Fusion,replknet31b_b1_seq1,cnn,0.21451755864646657
Energy x Cost,energy,True,w/o Layer Fusion,replknet31b_b8_seq1,cnn,1.6729024825396892
EDP,edp,False,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.00012536233521831153
EDP,edp,False,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.007919609843789824
EDP,edp,False,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,3.9370491538836114e-08
EDP,edp,False,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,1.3386137133238788e-06
EDP,edp,False,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.001984522852771496
EDP,edp,False,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.12035354170653419
EDP,edp,False,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,2.0461578924138415e-07
EDP,edp,False,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0219090307056087e-05
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.973878341193693e-06
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.0001682661802105447
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,2.3481790012384835e-07
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,1.4592148333427621e-06
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,4.336359290046342e-05
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,0.0021564446810245614
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,3.30930355423937e-07
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,2.0428716202328087e-05
EDP,edp,False,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,1.3108731508282375e-10
EDP,edp,False,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,7.069007421650439e-09
EDP,edp,False,Full Fengshui,replknet31b_b1_seq1,cnn,5.549070616702787e-07
EDP,edp,False,Full Fengshui,replknet31b_b8_seq1,cnn,2.6242979486928967e-05
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.00012696738228196942
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.007919609843789824
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b1_seq1,decode,4.002139548570519e-08
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b8_seq1,decode,1.3487731553842633e-06
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.0019982555035486745
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.12046539804808482
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b1_seq1,decode,2.0745553389342735e-07
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0275843355720128e-05
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,4.038529159603971e-06
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.0001682661802105447
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,2.2842710348327858e-07
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,1.461037530871251e-06
EDP,edp,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,4.391729074743106e-05
EDP,edp,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,0.0021564446810245614
EDP,edp,False,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,3.3328654921395276e-07
